#! 1.step 2.t, ns 3.U, eV 4.K, eV 5.T, K 
# TimeStep v_time c_pe c_ke c_temp
400 0.3005 -7.42588 0.000695872 5.38911
600 0.5005 -7.42577 0.000810915 6.28005
800 0.7005 -7.42566 0.000938922 7.27139
1000 0.9005 -7.42551 0.00106411 8.24086
1200 1.1005 -7.42537 0.0012125 9.39009
1400 1.3005 -7.42521 0.00137066 10.6149
1600 1.5005 -7.42504 0.00153756 11.9075
1800 1.7005 -7.42486 0.00170513 13.2052
2000 1.9005 -7.42469 0.0019033 14.7399
2200 2.1005 -7.42449 0.00207281 16.0527
2400 2.3005 -7.42432 0.00227749 17.6378
2600 2.5005 -7.42413 0.00246551 19.0939
2800 2.7005 -7.42393 0.00264342 20.4717
3000 2.9005 -7.42376 0.00284096 22.0015
3200 3.1005 -7.42355 0.00299575 23.2003
3400 3.3005 -7.42339 0.00319368 24.7331
3600 3.5005 -7.42322 0.00337284 26.1206
3800 3.7005 -7.42304 0.00352989 27.3369
4000 3.9005 -7.42288 0.00369933 28.6491
4200 4.1005 -7.42274 0.00388147 30.0597
4400 4.3005 -7.42258 0.00403553 31.2528
4600 4.5005 -7.42243 0.00418626 32.4201
4800 4.7005 -7.42231 0.00436363 33.7937
5000 4.9005 -7.42212 0.0044787 34.6849
5200 5.1005 -7.42199 0.00465783 36.0721
5400 5.3005 -7.42183 0.00479955 37.1697
5600 5.5005 -7.42164 0.00491662 38.0763
5800 5.7005 -7.42152 0.00511703 39.6283
6000 5.9005 -7.42136 0.00524664 40.6321
6200 6.1005 -7.42119 0.00539858 41.8088
6400 6.3005 -7.42109 0.00558743 43.2713
6600 6.5005 -7.4209 0.00569395 44.0963
6800 6.7005 -7.42074 0.0058452 45.2676
7000 6.9005 -7.42063 0.00602942 46.6942
7200 7.1005 -7.42044 0.00614448 47.5853
7400 7.3005 -7.42029 0.00631139 48.8779
7600 7.5005 -7.42015 0.00646707 50.0836
7800 7.7005 -7.41995 0.00658437 50.992
8000 7.9005 -7.41987 0.00681003 52.7396
8200 8.1005 -7.41968 0.00688683 53.3344
8400 8.3005 -7.41955 0.00708104 54.8385
8600 8.5005 -7.41948 0.00727188 56.3164
8800 8.7005 -7.41927 0.00734501 56.8827
9000 8.9005 -7.41917 0.00754402 58.4239
9200 9.1005 -7.41904 0.00767879 59.4677
9400 9.3005 -7.41886 0.00782222 60.5785
9600 9.5005 -7.41872 0.00797225 61.7403
9800 9.7005 -7.41854 0.00808799 62.6367
10000 9.9005 -7.41837 0.00823856 63.8027
10200 10.1005 -7.41827 0.00845533 65.4815
10400 10.3005 -7.41811 0.0085708 66.3757
10600 10.5005 -7.41795 0.00871011 67.4546
10800 10.7005 -7.41785 0.00890439 68.9592
11000 10.9005 -7.41763 0.00896686 69.443
11200 11.1005 -7.41753 0.00919833 71.2356
11400 11.3005 -7.41738 0.00932402 72.2089
11600 11.5005 -7.41721 0.00946183 73.2762
11800 11.7005 -7.41703 0.00960174 74.3597
12000 11.9005 -7.41691 0.00977167 75.6757
12200 12.1005 -7.41676 0.00993275 76.9232
12400 12.3005 -7.4166 0.0100563 77.8798
12600 12.5005 -7.41649 0.0102261 79.1948
12800 12.7005 -7.41632 0.010359 80.224
13000 12.9005 -7.41629 0.0106005 82.0946
13200 13.1005 -7.41603 0.010631 82.3308
13400 13.3005 -7.41589 0.0108132 83.7419
13600 13.5005 -7.41581 0.0109923 85.1291
13800 13.7005 -7.41556 0.0110733 85.7561
14000 13.9005 -7.41551 0.0113292 87.7382
14200 14.1005 -7.41528 0.0113809 88.1381
14400 14.3005 -7.41518 0.0116031 89.8594
14600 14.5005 -7.41505 0.0117326 90.8618
14800 14.7005 -7.41488 0.0118542 91.8039
15000 14.9005 -7.41475 0.0120373 93.2219
15200 15.1005 -7.41458 0.0121558 94.1396
15400 15.3005 -7.4144 0.0122848 95.1385
15600 15.5005 -7.41429 0.0124848 96.6874
15800 15.7005 -7.41412 0.0126121 97.6734
16000 15.9005 -7.4139 0.0127203 98.511
16200 16.1005 -7.41385 0.0129679 100.429
16400 16.3005 -7.41361 0.013008 100.739
16600 16.5005 -7.41355 0.0132708 102.774
16800 16.7005 -7.41342 0.0134059 103.821
17000 16.9005 -7.41321 0.0134918 104.486
17200 17.1005 -7.41319 0.0137355 106.373
17400 17.3005 -7.41297 0.0137894 106.791
17600 17.5005 -7.41284 0.0139696 108.186
17800 17.7005 -7.41267 0.0141105 109.278
18000 17.9005 -7.41256 0.0142777 110.572
18200 18.1005 -7.4124 0.0144201 111.675
18400 18.3005 -7.41227 0.0145927 113.012
18600 18.5005 -7.41209 0.0146868 113.74
18800 18.7005 -7.41197 0.0149002 115.393
19000 18.9005 -7.4119 0.0150579 116.615
19200 19.1005 -7.41165 0.0151306 117.177
19400 19.3005 -7.41155 0.0153376 118.781
19600 19.5005 -7.41134 0.0154239 119.449
19800 19.7005 -7.41118 0.0156055 120.855
20000 19.9005 -7.41104 0.0157563 122.023
20200 20.1005 -7.41083 0.0158843 123.015
20400 20.3005 -7.41072 0.016088 124.592
20600 20.5005 -7.41064 0.0162847 126.115
20800 20.7005 -7.41041 0.0163095 126.307
21000 20.9005 -7.41039 0.0165861 128.45
21200 21.1005 -7.41027 0.0167037 129.36
21400 21.3005 -7.41003 0.01678 129.951
21600 21.5005 -7.41002 0.0170287 131.877
21800 21.7005 -7.40975 0.0170515 132.054
22000 21.9005 -7.40969 0.0173281 134.196
22200 22.1005 -7.40952 0.0174123 134.848
22400 22.3005 -7.40931 0.0175174 135.662
22600 22.5005 -7.40925 0.017755 137.502
22800 22.7005 -7.40903 0.0178152 137.968
23000 22.9005 -7.40898 0.0180731 139.965
23200 23.1005 -7.40878 0.0181605 140.642
23400 23.3005 -7.40855 0.0182623 141.431
23600 23.5005 -7.40834 0.0183914 142.43
23800 23.7005 -7.40826 0.0186357 144.323
24000 23.9005 -7.40807 0.0187346 145.088
24200 24.1005 -7.408 0.0189917 147.079
24400 24.3005 -7.40785 0.0190686 147.675
24600 24.5005 -7.40765 0.0191921 148.631
24800 24.7005 -7.40769 0.0194601 150.707
25000 24.9005 -7.40743 0.0194831 150.885
25200 25.1005 -7.40736 0.0197237 152.748
25400 25.3005 -7.40708 0.0197237 152.748
25600 25.5005 -7.40701 0.0199869 154.787
25800 25.7005 -7.40688 0.0201342 155.927
26000 25.9005 -7.40673 0.0202822 157.073
26200 26.1005 -7.40655 0.0204015 157.998
26400 26.3005 -7.40648 0.0206037 159.563
26600 26.5005 -7.40627 0.0206519 159.937
26800 26.7005 -7.40619 0.0209002 161.86
27000 26.9005 -7.406 0.0209824 162.496
27200 27.1005 -7.40571 0.0210785 163.241
27400 27.3005 -7.40568 0.0213383 165.252
27600 27.5005 -7.40544 0.0214188 165.876
27800 27.7005 -7.40541 0.0216934 168.002
28000 27.9005 -7.40518 0.0217205 168.212
28200 28.1005 -7.40508 0.0219564 170.04
28400 28.3005 -7.40491 0.0220359 170.655
28600 28.5005 -7.40478 0.0221919 171.863
28800 28.7005 -7.40467 0.0223834 173.346
29000 28.9005 -7.40454 0.0225282 174.467
29200 29.1005 -7.40433 0.0226411 175.342
29400 29.3005 -7.40422 0.0228248 176.765
29600 29.5005 -7.40414 0.0230047 178.158
29800 29.7005 -7.40395 0.0230978 178.879
30000 29.9005 -7.40389 0.0233304 180.68
