#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T K
# TimeStep v_time c_pe c_ke c_temp
400 0.3005 -7110.69 18.8449 152.023
600 0.5005 -7110.51 19.3626 156.2
800 0.7005 -7110.09 19.7107 159.008
1000 0.9005 -7109.61 20.0295 161.579
1200 1.1005 -7109.26 20.6389 166.496
1400 1.3005 -7108.56 20.9996 169.406
1600 1.5005 -7108.14 21.691 174.983
1800 1.7005 -7107.68 22.412 180.8
2000 1.9005 -7106.92 22.8846 184.612
2200 2.1005 -7106.37 23.6249 190.584
2400 2.3005 -7105.72 24.2955 195.994
2600 2.5005 -7104.97 24.9171 201.008
2800 2.7005 -7104.33 25.6827 207.185
3000 2.9005 -7103.48 26.2615 211.854
3200 3.1005 -7103.11 27.3528 220.657
3400 3.3005 -7102.24 27.9689 225.627
3600 3.5005 -7101.49 28.7199 231.686
3800 3.7005 -7100.64 29.3755 236.975
4000 3.9005 -7099.86 30.1182 242.966
4200 4.1005 -7099.1 30.8654 248.994
4400 4.3005 -7098.43 31.7051 255.768
4600 4.5005 -7097.73 32.5004 262.183
4800 4.7005 -7097.14 33.3789 269.271
5000 4.9005 -7096.3 33.9657 274.004
5200 5.1005 -7095.81 34.865 281.259
5400 5.3005 -7094.9 35.2904 284.691
5600 5.5005 -7094.51 36.1722 291.804
5800 5.7005 -7093.59 36.4535 294.073
6000 5.9005 -7093.31 37.2926 300.843
6200 6.1005 -7092.75 37.7598 304.612
6400 6.3005 -7092.24 38.1572 307.818
6600 6.5005 -7091.84 38.5454 310.949
6800 6.7005 -7091.43 38.7811 312.851
7000 6.9005 -7091.34 39.1911 316.158
7200 7.1005 -7091.16 39.3395 317.355
7400 7.3005 -7091.13 39.4621 318.344
7600 7.5005 -7091.21 39.4929 318.593
7800 7.7005 -7091.26 39.3068 317.091
8000 7.9005 -7091.59 39.2137 316.34
8200 8.1005 -7091.68 38.7291 312.431
8400 8.3005 -7092.01 38.3813 309.625
8600 8.5005 -7092.25 37.8803 305.584
8800 8.7005 -7092.87 37.7362 304.421
9000 8.9005 -7093.16 37.2721 300.678
9200 9.1005 -7093.45 36.8333 297.137
9400 9.3005 -7093.91 36.6369 295.553
9600 9.5005 -7094.13 36.2742 292.627
9800 9.7005 -7094.41 36.0617 290.913
10000 9.9005 -7094.59 35.8445 289.16
