#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T, K 6.s11, bar 7.s22, bar 8.s33, bar 9.s12, bar 10.s23, bar 11.s31, bar 12.Pxx, bar 13.Pyy, bar 14.Pzz, bar 15.Pxy, bar 16.Pyz, bar 17.Pzx, bar #18.fdx, eV 19.fdy, eV 20.fdz, eV 21.nn 23.ucz, A
# TimeStep v_time c_pe c_ke c_temp v_s11 v_s22 v_s33 v_s12 v_s23 v_s31 c_p[1] c_p[2] c_p[3] c_p[4] c_p[6] c_p[5] c_fdx c_fdy c_fdz c_cn c_ucz
1400 1.3005 -7.45175 0.0202632 156.808 20038.4 -4926.06 -3009.38 -212.337 -5.2417 -0.24514 -126.291 1642.87 1099.51 68.1679 2.11984 0.168574 -0.0139947 -0.0140695 -0.0135814 2.96415 0.00148991
1600 1.5005 -7.45066 0.0219928 170.192 20035.9 -4409.76 -2609.3 76.1746 2.4179 -15.7825 -105.058 1456.06 970.181 -24.4465 1.64285 4.99841 -0.0148856 -0.0150169 -0.0142027 2.96415 0.0151164
1800 1.7005 -7.44931 0.0232845 180.188 20231.1 -4263.07 -2228.54 52.5501 1.71924 8.97441 -185.377 1411.48 843.487 -20.5188 -1.20197 -3.03352 -0.0158429 -0.0157847 -0.0152706 2.96415 0.0489982
2000 1.9005 -7.44808 0.0245779 190.197 20078.1 -5277.81 -1934.89 -264.031 -14.2644 6.36652 -137.022 1734.59 750.949 92.9143 3.66384 -2.89402 -0.0168004 -0.0168337 -0.0162255 2.96415 0.0913688
2200 2.1005 -7.44689 0.0257963 199.625 19820 -6123.19 -1717.15 160.738 -15.0862 -16.2507 -33.8916 2017.17 672.328 -58.8774 6.06627 5.82201 -0.0178563 -0.0174077 -0.0169086 2.96415 0.13709
2400 2.3005 -7.44597 0.0268155 207.513 19796.8 -5469.86 -1298.2 261.419 -50.162 -7.42802 -53.6911 1832.59 542.276 -86.1255 16.6938 2.47559 -0.0183447 -0.0179354 -0.0174928 2.96415 0.187657
2600 2.5005 -7.4452 0.0275644 213.308 20254.4 -3779.41 -1101.05 206.932 0.478034 7.58185 -171.907 1219.67 461.471 -79.7208 2.26913 -2.84442 -0.0188614 -0.0187807 -0.018271 2.96415 0.246296
2800 2.7005 -7.44441 0.0283633 219.49 20375.2 -2614.84 -1088.8 361.752 15.7624 -29.2437 -232.152 872.139 439.209 -103.653 -2.43075 9.86007 -0.0194841 -0.0187877 -0.0186982 2.96415 0.302283
3000 2.9005 -7.44377 0.029079 225.028 20395.4 -3458.52 -798.553 -231.321 -35.2411 17.0392 -243.852 1129.42 336.248 69.452 13.7958 -5.51021 -0.0199666 -0.0198762 -0.0193242 2.96415 0.353157
3200 3.1005 -7.44291 0.0297845 230.488 20343.1 -3487.48 -493.21 40.3373 49.4001 -39.5281 -202.988 1147.91 243.082 -6.68489 -17.2233 12.8716 -0.0207084 -0.0198417 -0.0199292 2.96415 0.388302
3400 3.3005 -7.4421 0.0305641 236.521 20493.8 -2664.91 -401.76 72.3574 -32.1228 -4.83301 -280.739 883.97 238.655 -25.913 12.9072 1.26628 -0.0210503 -0.0204366 -0.0205142 2.96415 0.404648
3600 3.5005 -7.4415 0.0313203 242.373 20788.9 -1231.7 -381.032 96.1012 98.305 6.89656 -346.134 384.668 198.586 -34.66 -29.9841 -2.29278 -0.021333 -0.0210207 -0.0210689 2.96415 0.417675
3800 3.7005 -7.44091 0.0317342 245.576 21285.4 -23.2886 -335.953 160.002 -6.98285 -1.60141 -535.782 3.8768 188.67 -51.0914 -0.174137 0.213806 -0.0219078 -0.0210857 -0.0216236 2.96415 0.420327
4000 3.9005 -7.44051 0.0322349 249.451 20888.6 -620.245 -293.716 -265.078 -122.818 19.1996 -404.525 181.571 192.373 73.1646 38.4933 -6.30238 -0.021907 -0.0217502 -0.0219089 2.96415 0.410918
