#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T, K 6.s11, bar 7.s22, bar 8.s33, bar 9.s12, bar 10.s23, bar 11.s31, bar 12.Pxx, bar 13.Pyy, bar 14.Pzz, bar 15.Pxy, bar 16.Pyz, bar 17.Pzx, bar #18.fdx, eV 19.fdy, eV 20.fdz, eV 21.nn 23.ucz, A
# TimeStep v_time c_pe c_ke c_temp v_s11 v_s22 v_s33 v_s12 v_s23 v_s31 c_p[1] c_p[2] c_p[3] c_p[4] c_p[6] c_p[5] c_fdx c_fdy c_fdz c_cn c_ucz
1600 1.5005 -7.43161 0.0394868 305.787 21657.6 -5506.55 -3228.41 36.135 -16.2465 5.3348 215.044 2124.95 1317.96 -37.3312 14.1114 1.56748 -0.0265445 -0.0264661 -0.026203 2.94412 -0.0129183
1800 1.7005 -7.43168 0.0394017 305.127 21926.5 -5029.14 -3003.67 -5.66353 85.0639 -0.833223 85.1245 1882.42 1218.69 24.3463 -17.0874 0.50602 -0.0266043 -0.026984 -0.026349 2.94412 -0.0051551
2000 1.9005 -7.43174 0.0392701 304.109 21957.6 -4553.3 -2554.09 8.2232 29.0396 -28.6492 91.3743 1712.39 1105.58 -5.73733 3.03991 9.20961 -0.0261618 -0.0262398 -0.0270791 2.94412 0.0130257
2200 2.1005 -7.43148 0.0396194 306.813 21838.7 -5010.92 -2120.21 506.418 30.7364 18.9783 145.996 1931.17 916.288 -181.308 -7.38157 -6.99704 -0.0261341 -0.0259195 -0.0270933 2.94412 0.0573584
2400 2.3005 -7.43116 0.0398281 308.43 21518.6 -5891.82 -1427.46 68.4706 18.0919 -20.5815 245.491 2213.7 641.073 -41.1228 -5.5692 6.3758 -0.0267123 -0.0276355 -0.0265651 2.94412 0.11983
2600 2.5005 -7.43118 0.0399505 309.378 22081.2 -3792.87 -909.431 -112.647 -89.2181 -18.1995 44.9933 1469.4 458.883 31.8153 32.3185 5.40695 -0.0271675 -0.0263944 -0.0262097 2.94412 0.1894
2800 2.7005 -7.43106 0.0396215 306.83 22604.6 -1049.07 -895.942 183.625 -39.3586 21.018 -143.507 394.818 458.083 -79.577 11.582 -6.46024 -0.0271573 -0.026977 -0.0262182 2.94412 0.261016
3000 2.9005 -7.43111 0.0395252 306.084 22951.7 305.337 -859.056 504.324 -59.0361 3.78234 -290.871 -183.554 399.9 -186.51 16.666 -2.64235 -0.0268391 -0.0285099 -0.0258569 2.94412 0.320977
3200 3.1005 -7.43113 0.0394778 305.717 22989.6 358.916 -953.695 205.337 -116.6 5.71092 -287.49 -126.016 472.019 -76.009 42.7482 -3.00256 -0.0265088 -0.0274332 -0.0262654 2.94412 0.360705
3400 3.3005 -7.43072 0.0398693 308.749 23451.9 2281.6 -973.068 -324.971 47.9001 -17.2868 -459.01 -893.532 433.982 128.583 -14.6841 5.36509 -0.0269978 -0.0274667 -0.0268461 2.94412 0.376403
3600 3.5005 -7.43114 0.0395224 306.062 23206.8 1136.16 -696.089 -242.653 112.457 -52.032 -377.094 -474.65 360.403 110.709 -34.6092 21.6962 -0.0265499 -0.0280057 -0.0262732 2.94412 0.348364
3800 3.7005 -7.43141 0.0394537 305.53 22702.9 -1057.53 -935.33 111.008 -94.5589 -20.9928 -171.42 409.135 439.479 -55.6723 35.7647 9.25625 -0.0265825 -0.0270145 -0.0253787 2.94412 0.302152
4000 3.9005 -7.43129 0.0395181 306.029 22719.8 -1456.56 -1031.16 353.119 34.5526 96.3432 -210.693 504.489 476.713 -155.42 -8.92766 -35.2502 -0.0268635 -0.0279402 -0.0256713 2.94412 0.2462
4200 4.1005 -7.43155 0.0394104 305.195 22233 -3734.61 -1199.84 219.005 24.8954 -91.4256 -11.6917 1418.89 571.569 -83.9565 2.61834 34.9515 -0.0266918 -0.0270631 -0.0260888 2.94412 0.185755
4400 4.3005 -7.43182 0.0391942 303.52 22044.7 -5592.72 -1485.83 -135.73 -92.5485 54.3148 61.0341 2148.34 672.608 36.1929 31.1201 -22.2287 -0.0269791 -0.0256636 -0.0260616 2.94412 0.127584
4600 4.5005 -7.43244 0.0388286 300.689 22272 -5428.67 -2373.67 274.912 -22.4413 -8.14806 -45.9977 2042.76 995.023 -83.4873 -2.2913 4.97714 -0.0261002 -0.0262553 -0.0257294 2.94412 0.0746271
4800 4.7005 -7.43235 0.0385011 298.153 22146.5 -6091.33 -2886.5 618.717 -7.94162 18.7897 24.7061 2306.12 1217.11 -243.25 1.94924 -6.82927 -0.0260264 -0.0254979 -0.0263128 2.94412 0.0246319
5000 4.9005 -7.43217 0.0387917 300.404 22196.6 -6597.62 -3015.84 309.874 8.49882 4.5599 6.97673 2504.2 1216.89 -108.495 1.28427 -2.46181 -0.0256307 -0.0253954 -0.0268637 2.94412 0.00962859
